headword,level,toefl,ielts
a,A1,0,0
a.m./A.M./am/AM,A1,0,0
abandon,B1,1,1
abandoned,B2,1,0
abandonment,B2,1,1
abbreviation,B1,1,1
abdominal,B2,1,0
aberration,C2,1,0
abeyance,B2,1,1
abhor,C2,1,0
abhorrent,C2,1,0
abhorrently,C2,0,0
abide,B1,1,1
ability,A2,1,1
abject,C2,1,0
able,B1,0,1
abnormal,B1,1,1
abnormally,B2,0,0
aboard,B1,1,1
abolish,B2,1,1
abolition,B2,1,1
aboriginal,B2,1,0
aborigine,B1,0,0
abortion,C1,1,1
abortive,C1,0,1
abound,C1,0,0
about,A1,0,1
above,B1,0,1
above-mentioned,C1,0,1
abreast,B2,0,1
abridge,C2,1,1
abroad,A2,1,1
abrogate,C1,1,1
abrogation,C1,0,1
abrupt,C2,1,1
abruptly,B2,0,1
absence,B1,1,1
absent,B1,1,1
absent-minded,C2,1,1
absentee,B2,1,0
absolute,B1,1,1
absolutely,B1,1,1
absorb,B1,1,1
absorption,B1,1,1
abstract,B1,1,1
abstraction,C1,0,1
absurd,B2,1,1
absurdity,B2,0,1
abundance,B1,1,1
abundant,B1,1,1
abundantly,C2,1,0
abuse,B2,1,1
academic,B1,1,1
academy,B1,1,1
accede,C1,1,1
accelerate,C2,1,1
acceleration,B2,1,1
accent,B1,1,1
accept,A2,1,1
acceptable,A2,1,1
acceptance,B1,1,1
access,B1,1,1
accessibility,B2,0,0
accessible,B1,1,1
accessory,B1,1,1
accident,A2,1,1
accidental,B1,1,1
accidentally,B1,1,1
acclaim,B2,1,0
accommodate,B1,1,1
accommodation,B2,1,1
accompaniment,B2,1,1
accompany,B1,1,1
accomplish,B1,1,1
accomplishment,B2,1,1
accord,C2,1,1
accordance,C1,0,1
according,A2,0,1
according to,B1,0,0
accordingly,B2,1,1
account,A2,1,1
account for,B2,1,0
accountability,C2,0,0
accountant,B1,1,1
accounting,B1,1,1
accrue,C2,0,1
accumulate,B2,1,1
accumulation,C2,1,1
accumulative,C1,0,1
accuracy,B1,1,1
accurate,B1,1,1
accurately,B1,0,1
accusation,B2,1,1
accuse,B1,1,1
accustom,B1,1,1
accustomed,C1,1,0
ache,B1,1,1
achievable,B2,0,0
achieve,A2,1,1
achievement,B1,1,1
aching,C1,0,1
acid,B2,1,1
acidic,C1,1,0
acknowledge,B1,1,1
acknowledgment/acknowledgement,B1,1,1
acoustic,C1,1,0
acoustical,C1,1,0
acoustically,C1,0,0
acoustics,C1,0,0
acquaint,C1,1,1
acquaintance,B1,1,1
acquire,B1,1,1
acquisition,B2,1,1
acre,C1,1,1
acreage,C2,1,0
acrobat,C1,0,1
acrobatic,C2,0,0
acrobatically,C2,0,0
acrobatics,C2,0,1
acronym,B2,1,0
across,A2,0,1
act,A2,1,1
action,A1,0,1
activate,B2,1,1
active,B1,1,1
actively,B2,1,1
activity,A1,0,1
actor,A1,1,1
actress,B1,1,1
actual,B2,1,1
actuality,B2,1,1
actually,A2,1,1
acute,B2,1,1
acutely,C1,0,0
ad,B1,1,0
ad lib,C2,0,0
ad-lib,C2,0,0
adapt,B1,1,1
adaptable,B2,1,0
adaptation,C1,1,1
adaptive,B2,1,0
add,A1,0,1
addict,B2,1,0
addicted,B2,0,0
addiction,B2,0,0
addition,A2,1,1
additional,A2,1,1
additionally,B2,1,0
additive,C2,1,1
address,A1,1,1
addressee,B1,0,0
adept,C2,1,0
adequate,B2,1,1
adequately,B2,0,1
adhere,C2,1,1
adhesion,C2,1,0
adhesive,B2,1,1
adjacent,C2,1,1
adjective,A2,0,1
adjoin,C1,1,1
adjoining,C1,1,0
adjunct,C1,1,0
adjust,A2,1,1
adjustable,C1,0,1
adjustment,B2,1,1
administer,B2,1,1
administrate,C1,1,0
administration,B1,1,1
administrative,B2,1,1
administrator,B2,1,0
admirable,B2,0,1
admiration,B1,1,1
admire,A2,1,1
admiringly,B2,0,0
admission,B1,1,1
admit,A2,1,1
admittedly,B2,1,1
adobe,B2,1,0
adolescence,B2,0,1
adolescent,C2,1,1
adopt,B1,1,1
adopted,B2,0,0
adoption,B2,1,1
adorable,B1,0,0
adore,B2,0,1
adorn,B2,1,1
adornment,C2,1,1
adrenaline,C1,0,0
adult,A2,1,1
adulterate,C2,1,0
advance,B2,1,1
advanced,A2,1,1
advancement,B2,0,0
advantage,A2,1,1
advantageous,C1,0,1
advent,B2,1,0
adventure,A2,1,1
adventurous,B2,1,1
adverb,B1,0,1
adverbial,B1,0,1
adversary,C1,0,1
adverse,B2,1,1
adversely,B2,0,0
adversity,B2,1,1
advert,B1,1,0
advertise,B1,1,1
advertisement,A2,1,1
advertising,A2,0,1
advice,A2,1,1
advisable,B2,0,1
advise,A2,1,1
adviser/advisor,B1,1,1
advisory,C1,1,0
advocate,C2,1,1
aerial,B2,1,1
aerobics,B1,0,0
aerosol,C1,1,0
aesthetic,C1,1,0
aesthetical,C1,1,0
aesthetically,C1,0,0
affair,A2,1,1
affect,B1,1,1
affectation,C2,1,0
affection,B1,1,1
affectionate,B2,1,1
affectionately,B2,0,0
affiliate,C1,1,1
affirm,B2,1,1
affirmation,B2,0,1
affirmative,B2,1,1
afford,B1,1,1
affordable,B2,1,1
afloat,C1,0,1
aforesaid,B2,1,1
afraid,A1,1,1
African,B1,0,1
after,A2,0,1
afternoon,A1,1,1
afterward,B1,1,1
afterwards,B1,0,0
again,A1,0,1
against,A2,0,1
age,A1,0,1
aged,A2,0,0
ageless,B2,0,0
agency,A2,1,1
agenda,B1,1,0
agent,A2,1,1
aggravate,C1,1,1
aggravation,C1,1,1
aggregate,B2,1,1
aggregation,C2,1,1
aggression,C1,1,1
aggressive,B1,1,1
aggressively,B2,0,0
aggressor,C1,0,1
aghast,C2,1,0
agile,C2,1,0
agility,C2,1,0
agitate,C1,1,1
agitation,B2,1,1
ago,A1,0,1
agonize,C1,0,0
agonize/agonise,B2,0,1
agony,B2,0,1
agree,A1,0,1
agreeable,C1,1,1
agreed,B1,0,1
agreement,B1,1,1
agricultural,B1,1,1
agriculture,B1,1,1
ahead,A2,1,1
aid,B1,1,1
aids,B1,0,1
ailment,C1,1,1
aim,B1,1,1
aimless,C1,0,1
aimlessly,C1,0,0
air,A2,1,1
air conditioning,B1,0,0
air force,B1,0,0
aircraft,B2,1,1
aircrew,B2,0,0
airline,B1,1,1
airliner,C1,0,1
airmail,C1,0,1
airplane/aeroplane,A1,1,1
airport,A1,0,1
airway,B2,0,1
